titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
Se Renta Excelente Oficina en el en Edificio Corporativo ZYRA,800,Pichincha,"Pichincha, Avenida Portugal, Quito, Ecuador",1.0,1.0,91.0,1.0,Quito
"Villa En El Sur De Guayaquil, Ciudadela Del IESS, Atrás Del Hospital Teodoro Maldonado.",350,Guayas,"Guayas, Ciudadela del Periodista, Guayaquil, Ecuador",3.0,1.0,91.0,1.0,Guayaquil
En Renta oficina en el edificio World Trade Center,750,Pichincha,"Pichincha, Edificio World Trade Center, Avenue 12 de Octubre, Quito, Ecuador",3.0,2.0,65.0,1.0,Quito
DEPARTAMENTO EN ARRIENDO CIUDADELA LA SAIBA,550,Guayas,"Guayas, Ciudadela Saiba, Guayaquil, Ecuador",3.0,2.0,120.0,1.0,Guayaquil
DEPARTAMENTO DE ARRIENDO SECTOR GRANDA CENTENO,500,Pichincha,"Pichincha, Granda Centeno, Quito, Ecuador",2.0,1.0,142.0,2.0,Quito
RENTO DEPARTAMENTO GRANDE SECTOR LA GASCA,330,Pichincha,"Pichincha, La Gasca, Quito, Ecuador",3.0,2.0,116.0,1.0,Quito
En Renta Lujosa Suite ubicada en el hotel MARRIOTT,1700,Pichincha,"Pichincha, Hotel Marriott Quito, Avenida Francisco de Orellana, Quito, Ecuador",2.0,2.0,92.0,1.0,Quito
Hermoso departamento de arriendo con línea blanca sector el bosque $ 470 incluido alícuota,470,Pichincha,"Pichincha, El Bosque, Quito, Ecuador",2.0,2.0,90.0,1.0,Quito
Hermoso departamento de arriendo de oportunidad sector La prensa Av. el Maestro $320 incluido Alicuota,320,Pichincha,"Pichincha, De la Prensa Y del Maestro, Quito, Ecuador",2.0,2.0,110.0,1.0,Quito
Hermosa casa de arriendo de oportunidad $ 500 dólares sector Santa Lucía,500,Pichincha,"Pichincha, Santa Lucía, Quito, Ecuador",3.0,3.0,150.0,1.0,Quito
ARRIENDO OFICINAS CON BODEGA SECTOR CALDERON,600,Pichincha,"Pichincha, Calderón, Quito, Ecuador",3.0,1.0,170.0,2.0,Quito
Hermosa casa en conjunto Cordillera,500,Pichincha,"Pichincha, Martín Ochoa y av Simón Bolívar (occidental)",3.0,3.0,180.0,2.0,Martín Ochoa y av Simón Bolívar (occidental)
OFICINA DE ARRIENDO SECTOR LA MARISCAL,350,Pichincha,"Pichincha, La Mariscal, Quito, Ecuador",3.0,2.0,48.0,1.0,Quito
"Villa en el Sur de Guayaquil, Ciudadela Del IESS, atrás del Hospital Teodoro Maldonado.",400,Guayas,"Guayas, Av Olmedo, Guayaquil 090314, Ecuador",3.0,1.0,91.0,1.0,Guayaquil
Se Arriendan Departamentos- Ciudadela Las Orquídeas,200,Guayas,"Guayas, Avenida 1 49, Las Orquídeas Este, Guayaquil, Ecuador",2.0,2.0,80.0,1.0,Guayaquil
Casa Independiente en Renta Sector Santa Ines Cumbayá,2600,Pichincha,"Pichincha, Santa Inés, Quito, Ecuador",3.0,3.0,300.0,4.0,Quito
ESPACIOSO DEPARTAMENTO EN RENTA SECTOR BILOXI,280,Pichincha,"Pichincha, Biloxi, Quito, Ecuador",3.0,2.0,117.0,1.0,Quito
"RENTA DE SUITE SEMIAMOBLADA,CUMBAYA scala shopping",550,Pichincha,"Pichincha, Cumbayá, Quito, Ecuador",1.0,1.0,68.0,1.0,Quito
RENTO LOCAL COMERCIAL CON BODEGA EN CHILLOGALLO,300,Pichincha,"Pichincha, Chillogallo, Quito, Ecuador",3.0,2.0,37.0,1.0,Quito
EN RENTA CASA AMOBLADA EN EL CENTRO HISTORICO,1100,Pichincha,"Pichincha, Centro Histórico, Quito, Ecuador",4.0,4.0,700.0,1.0,Quito
"Arriendo Suite Amoblada, La Mariscal",450,Pichincha,"Pichincha, La Mariscal, Quito, Ecuador",1.0,2.0,60.0,1.0,Quito
Arriendo departamento sector cultural La Floresta,425,Pichincha,"Pichincha, Avenida Ladrón de Guevara & Barcelona, Quito, Ecuador",2.0,2.0,90.0,1.0,Quito
EN RENTA LOCAL COMERCIAL AV. PRINCIPAL CAPELO,300,Pichincha,"Pichincha, Capelo, Quito, Ecuador",3.0,2.0,70.0,1.0,Quito
EN RENTA OFICINA SECTOR DEL COLIBRÍ-SANGOLQUÍ,180,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,27.0,1.0,Sangolquí
EN RENTA OFICINA SECTOR DEL COLIBRÍ-SANGOLQUÍ,160,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,24.0,1.0,Sangolquí
Suite sector universidad Católica,350,Pichincha,"Pichincha, Toledo & Madrid, Quito 170143, Ecuador",1.0,1.0,70.0,1.0,Quito
EXCELENTE UBICACION LOCAL COMERCIAL RENTA (118M2 – RUMIPAMBA),850,Pichincha,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",3.0,2.0,118.0,2.0,Quito
CASA COMERCIAL EXCELENTE UBICACION RENTA (200M2 – RUMIPAMBA),1500,Pichincha,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",5.0,2.0,200.0,3.0,Quito
BODEGA COMERCIAL UBICACION ESTRATEGICA DE RENTA (87M2 – RUMIPAMBA),450,Pichincha,"Pichincha, Veracruz & Avenida de la República, Quito, Ecuador",1.0,1.0,87.0,1.0,Quito
LOCAL EN RENTA A ESTRENAR DE 26M2 (EDF. AMELIA) MASTODONTES,200,Pichincha,"Pichincha, Mastodontes, Quito, Ecuador",1.0,1.0,26.0,1.0,Quito
"Arriendo Departamento 3 Dormitorios, La Mariscal",697,Pichincha,"Pichincha, La Mariscal, Quito, Ecuador",3.0,2.0,110.0,2.0,Quito
CONFORTABLE DEP. EXCELENTE UBICACION RENTA (75 MT2) RUMIPAMBA,300,Pichincha,"Pichincha, Antonio de Ulloa & Avenida Atahualpa, Quito, Ecuador",2.0,2.0,75.0,1.0,Quito
DEPARTAMENTO EN RENTA,450,Pichincha,"Pichincha, Nuñez de Vela & Juan José de Villalengua, Quito, Ecuador",2.0,2.0,95.0,1.0,Quito
Casa en Renta 2 pisos – Quito,350,Pichincha,"Pichincha, Rio Peripa, Quito, Ecuador",3.0,2.0,90.0,1.0,Quito
"Arriendo Suite Amoblada, Av. America, Rumipamba",340,Pichincha,"Pichincha, Av. América, Quito, Ecuador",1.0,1.0,50.0,1.0,Quito
Renta de Suite Semi – Amoblada Sector La Carolina,550,Pichincha,"Pichincha, La Carolina, Quito, Ecuador",1.0,1.0,70.0,1.0,Quito
Renta de Consultorio Sector Eloy Alfaro y Alemania,500,Pichincha,"Pichincha, Fortune Plaza Business Center, Avenida Eloy Alfaro, Quito, Ecuador",3.0,1.0,45.0,1.0,Quito
Renta Oficina Sector La Carolina,750,Pichincha,"Pichincha, Avenida Republica del Salvador & Avenida de los Shyris, Quito, Ecuador",3.0,1.0,80.0,1.0,Quito
Departamento en Venta/renta Sector Real Audiencia,517,Pichincha,"Pichincha, Real Audiencia, Quito, Ecuador",2.0,2.0,96.0,1.0,Quito
LINDA OFICINA EN LA AV. COLON Y AMAZONAS ARRIENDO,350,Pichincha,"Pichincha, Av. Cristóbal Colón & Avenida Río Amazonas, Quito, Ecuador",3.0,2.0,51.0,1.0,Quito
"Arriendo Departamento 3 Dormitorios + Estudio, La Mariscal",550,Pichincha,"Pichincha, La Mariscal, Quito, Ecuador",3.0,3.0,140.0,1.0,Quito
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 4,130,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,28.0,1.0,Sangolquí
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 3,170,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,52.0,1.0,Sangolquí
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 2,120,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,23.0,1.0,Sangolquí
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ OFICINA 1,140,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,30.0,1.0,Sangolquí
EN RENTA OFICINA EN EL CENTRO DE SANGOLQUÍ,150,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,38.0,1.0,Sangolquí
EN RENTA NAVE INDUSTRIAL – VÍA SANGOLQUÍ AMAGUAÑA,3000,Pichincha,"Pichincha, Amaguaña, Quito, Ecuador",3.0,2.0,600.0,1.0,Quito
Local de Arriendo ubicado en el Colibri,600,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,100.0,1.0,Sangolquí
SE RENTA DE SUITE EN LA PRIMAVERA,450,Pichincha,"Pichincha, La Primavera, Quito, Ecuador",1.0,1.0,45.0,1.0,Quito
LOCAL COMERCIAL DE RENTA GUAMANÍ SUR DE QUITO,3900,Pichincha,"Pichincha, Guamaní, Quito, Ecuador",3.0,2.0,286.0,12.0,Quito
ARRIENDO AMPLIA CASA EN EL SECTOR DE CONOCOTO,940,Pichincha,"Pichincha, Conocoto, Quito, Ecuador",3.0,4.0,840.0,1.0,Quito
RENTA AMPLIO DEPARTAMENTO SECTOR ELOY ALFARO,550,Pichincha,"Pichincha, Av. Eloy Alfaro, Quito, Ecuador",3.0,2.0,132.0,1.0,Quito
LOCAL DE ARRIENDO TORRES SANTA FE 6 DE DICIEMBRE,750,Pichincha,"Pichincha, Av. 6 de Diciembre, Quito, Ecuador",3.0,2.0,135.0,1.0,Quito
"RENTO 2DO PISO DE EDIF 3 AMBIENTES, SANGOLQUI",1200,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,395.0,1.0,Sangolquí
Arriendo Departamento 3 dormitorios,350,Pichincha,"Pichincha, Asunción & Canada, Quito, Ecuador",3.0,2.0,120.0,1.0,Quito
CASA EN EL SECTOR DE LA ARMENIA LA RIBERA,1800,Pichincha,"Pichincha, La Armenia, Quito, Ecuador",3.0,3.0,485.0,5.0,Quito
DEPARTAMENTO EN RENTA SEMI AMOBLADO QUITO TENNIS,700,Pichincha,"Pichincha, Quito Tenis, Quito, Ecuador",2.0,1.0,85.0,1.0,Quito
EN RENTA DEPARTAMENTO DE 3 HAB. CENTRO HISTORICO,280,Pichincha,"Pichincha, Centro Histórico, Quito, Ecuador",3.0,1.0,95.0,1.0,Quito
"ARRIENDO OFICINA, BODEGA, DEPARTAMENTO",3000,Pichincha,"Pichincha, La Gasca, Quito, Ecuador",5.0,2.0,1500.0,1.0,Quito
"Quito Tenis, Exclusivo y bello depto de 90 M2",500,Pichincha,"Pichincha, Los Cabildos 112, Quito, Ecuador",2.0,2.0,90.0,2.0,Quito
Hermoso departamento de arriendo sector Ponceano alto 3 dormitorios $450 incluido Alicuota,450,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",3.0,2.0,120.0,1.0,Quito
Hermosa casa de arriendo de oportunidad sector La Pampa $600,600,Pichincha,"Pichincha, La Pampa, Quito, Ecuador",3.0,3.0,140.0,2.0,Quito
RENTO OFICINA CON O SIN MENAJE EL COLIBRI SANGOLQU,900,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,98.0,1.0,Sangolquí
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 88M2,690,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,88.0,1.0,Sangolquí
RENTO OFICINAS EN PLAZA COLIBRI SANGOLQUI 86M2,675,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,86.0,1.0,Sangolquí
Alquila la oficina para tu negocio en Yaruquí,450,Pichincha,"Pichincha, Yaruquí, Quito, Ecuador",3.0,2.0,180.0,1.0,Quito
RENTO OFICINAS EN PLAZA COLIBRI SECTOR SANGOLQUI,705,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,90.0,1.0,Sangolquí
Departamento en Renta en el Sector de La Kennedy,280,Pichincha,"Pichincha, La Kennedy, Quito, Ecuador",2.0,1.0,70.0,1.0,Quito
Departamento de Arriendo en Ponceano,250,Pichincha,"Pichincha, Calles Orianga N63-159 y de los Cedros.",2.0,1.0,65.0,1.0,Calles Orianga N63-159 y de los Cedros.
RENTA EXCLUSIVO DEPARTAMENTO EDF. BÔ QUITO TENNIS,900,Pichincha,"Pichincha, Quito Tenis, Quito, Ecuador",3.0,2.0,120.0,2.0,Quito
EN RENTA DEPARTAMENTO SECTOR 6 DE DICIEMBRE,550,Pichincha,"Pichincha, Av. 6 de Diciembre, Quito, Ecuador",3.0,2.0,90.0,1.0,Quito
RENTA CASA – 150m2 – EL CONDADO,450,Pichincha,"Pichincha, Rio Pucuno & Rio Bigal, Quito, Ecuador",3.0,2.0,150.0,2.0,Quito
RENTA SUITE – 55m2 – EL INCA,350,Pichincha,"Pichincha, Avenida de Las Palmeras & De los Madroños, Quito, Ecuador",1.0,1.0,55.0,1.0,Quito
RENTA DEPARTAMENTO – 120m2 -LA CAROLINA,690,Pichincha,"Pichincha, El Comercio & El Tiempo, Quito 170102, Ecuador",3.0,1.0,120.0,1.0,Quito
EN RENTA LOCAL DE 6M2 SECTOR COLIBRÍ LOCAL 5,190,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,6.0,1.0,Sangolquí
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 4,420,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,12.0,1.0,Sangolquí
RENTO LOCAL COMERCIAL PLANTA BAJA SECTOR COLIBRÍ LOCAL 3,1090,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,162.0,1.0,Sangolquí
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 2,665,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,108.0,1.0,Sangolquí
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ LOCAL 1,655,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,106.0,1.0,Sangolquí
RENTO LOCALES COMERCIALES UBICADOS SECTOR COLIBRÍ,585,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,95.0,35.0,Sangolquí
"ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIÓN, 2 HABITACIONES, AMOBLADO O SIN AMOBLAR, $5OO",500,Pichincha,"Pichincha, Juan Montalvo N2-168 y, Quito 170157, Ecuador",2.0,1.0,70.0,1.0,Quito
ARRIENDO DEPARTAMENTO CON EXCELENTE UBICACIÓN.,650,Pichincha,"Pichincha, Cumbaya, Ecuador",3.0,2.0,180.0,2.0,Cumbaya
SE RENTA DEPARTAMENTO EN CONJUNTO EN CONOCOTO,370,Pichincha,"Pichincha, Conocoto, Quito, Ecuador",3.0,2.0,100.0,1.0,Quito
Departamento en Renta sector La Carolina,350,Pichincha,"Pichincha, La Carolina, Quito, Ecuador",3.0,1.0,100.0,1.0,Quito
DEPARTAMENTO EN RENTA SECTOR KENNEDY,415,Pichincha,"Pichincha, La Kennedy, Quito, Ecuador",3.0,2.0,103.0,2.0,Quito
En Arriendo bonita Oficina Sector La Pradera,700,Pichincha,"Pichincha, La Pradera, Quito, Ecuador",3.0,2.0,94.0,1.0,Quito
Habitación en Renta en el Sector la Carolina hab. 2,120,Pichincha,"Pichincha, La Carolina, Quito, Ecuador",1.0,1.0,15.0,1.0,Quito
RENTA OFICINA- 60m2 – CENTRO NORTE DE QUITO,470,Pichincha,"Pichincha, Batan Bajo, Quito, Ecuador",3.0,1.0,60.0,1.0,Quito
LOCAL DE ARRIENDO EN LAS CASAS QUITO,490,Pichincha,"Pichincha, Las Casas, Quito, Ecuador",3.0,2.0,70.0,1.0,Quito
DEPARTAMENTO EN ALQUILER SECTOR PINAR BAJO,550,Pichincha,"Pichincha, Teniente Homero Salas, Quito, Ecuador",3.0,3.0,150.0,1.0,Quito
Departamento en Renta sector La Carolina,350,Pichincha,"Pichincha, La Carolina, Quito, Ecuador",3.0,1.0,90.0,1.0,Quito
"SUITE AMOBLADA DE ARRIENDO , SECTOR LA CAROLINA",750,Pichincha,"Pichincha, Avenida de los Shyris & Avenida Naciones Unidas, Quito, Ecuador",1.0,2.0,72.0,1.0,Quito
EN RENTA-LOCAL COMERCIAL SECTOR VERSALLES,200,Pichincha,"Pichincha, Versalles, Quito, Ecuador",3.0,2.0,30.0,1.0,Quito
"Arriendo Departamento 3 Dormitorios + Estudio, Mañosca",450,Pichincha,"Pichincha, Mañosca & Avenida Occidental, Quito, Ecuador",3.0,3.0,130.0,1.0,Quito
"Arriendo Departamento 2 Dormitorios, Mañosca",350,Pichincha,"Pichincha, Mañosca & Avenida Occidental, Quito, Ecuador",2.0,2.0,105.0,1.0,Quito
ARRIENDO OFICINA-142m2-REPÚBLICA DEL SALVADOR,900,Pichincha,"Pichincha, Av. República de El Salvador, Quito 170102, Ecuador",3.0,2.0,142.0,2.0,Quito
Departamento sector República del Salvador,700,Pichincha,"Pichincha, Finlandia N36-83 y Suecia",3.0,3.0,178.0,2.0,Finlandia N36-83 y Suecia
ARRIENDO BODEGA Y OFICINAS. ESQUIENERO. (BELLAVISTA DE CALDERÓN),900,Pichincha,"Pichincha, Bellavista, Quito, Ecuador",4.0,3.0,646.0,1.0,Quito
ARRIENDO OFICINA-142m2-REPÚBLICA DEL SALVADOR,900,Pichincha,"Pichincha, Av. República de El Salvador, Quito, Ecuador",3.0,2.0,142.0,2.0,Quito
RENTA DEPARTAMENTO – 115m3 – SAN RAFAEL,383,Pichincha,"Pichincha, Av. Gral. Rumiñahui & Isla Floreana, Quito, Ecuador",2.0,3.0,115.0,1.0,Quito
RENTA MODERNA OFICINA – 96m2 – LA CORUÑA,480,Pichincha,"Pichincha, Av. La Coruña & San Ignacio, Quito, Ecuador",3.0,2.0,96.0,1.0,Quito
